ANGLE,POWER,DV
0,3.91,388
5,4.00,390
10,4.00,390
15,4.00,390
20,4.00,382
25,4.00,378
30,4.00,362
35,4.00,358
40,4.00,346
45,4.00,352
50,4.00,354
85,4.00,352
90,4.00,350
