ANGLE,POWER,DV
0,1.60,196
5,1.60,196
10,1.6,196
15,1.6,196
20,1.6,188
25,1.6,188
30,1.6,188
35,1.6,188
40,1.6,182
45,1.6,182
50,1.6,186
80,1.6,186
85,1.6,194
90,1.6,196
