ANGLE,POWER,DV
0,1.60,182
5,1.60,182
10,1.6,180
15,1.6,182
20,1.6,178
25,1.6,180
30,1.6,180
35,1.6,178
40,1.6,178
45,1.6,180
50,1.6,178
80,1.6,178
85,1.6,178
90,1.6,178
