position (cm),mag. field (gauss)
0.0,7.7
0.5,7.7
1.0,7.8
1.5,7.8
2.0,7.8
2.5,7.7
3.0,7.8
3.5,7.6
4.0,7.7
4.5,7.8
5.0,7.6
5.5,7.6
6.0,7.5
6.5,7.5
7.0,7.3
7.5,7.1
8.0,7.0
8.5,6.9
9.0,6.4
