position (cm),mag. field (gauss)
0.0,14.8
0.5,14.9
1.0,14.8
1.5,14.8
2.0,14.6
2.5,14.8
3.0,14.7
3.5,14.7
4.0,14.7
4.5,14.7
5.0,14.7
5.5,14.7
6.0,14.7
6.5,14.5
7.0,14.1
7.5,13.8
8.0,13.6
8.5,13.0
9.0,12.3
