position (cm),mag. field (gauss)
0.0,7.1
0.5,7.3
1.0,7.5
1.5,7.5
2.0,7.5
2.5,7.6
3.0,7.6
3.5,7.7
4.0,7.7
4.5,7.5
5.0,7.6
5.5,7.7
6.0,7.7
6.5,7.7
7.0,7.7
7.5,7.8
8.0,7.8
8.5,7.8
9.0,7.7
9.5,7.7
10.0,7.6
10.5,7.6
11.0,7.6
11.5,7.4
12.0,7.2
12.5,7.2
13.0,7.1
